precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
0.04,7.5,0,245.83,0,85.64,0,0,39.2,39.2,48.5,34.1,5.9,32.0,0.0,9929
0.0,8.8,0,235.0,0,54.15,0,0,45.5,45.5,65.1,32.8,9.9,28.1,0.0,24392
0.0,6.6,0,65.0,0,54.81,0,0,50.5,50.5,69.5,32.3,9.9,29.1,0.0,16943
0.0,7.1,0,153.48,0,62.09,0,0,55.2,55.2,61.1,50.8,9.9,0.0,0.0,2103
0.52,11.3,0,159.13,0,91.36,0,0,56.5,56.5,59.6,54.2,7.8,0.0,0.0,1908
3.19,9.0,0,143.17,0,93.09,0,0,56.8,56.8,59.0,54.8,5.3,0.0,0.0,1018
0.36,11.6,0,292.5,0,64.03,0,0,39.0,39.0,54.7,28.5,9.4,21.0,0.0,13584
0.06,10.2,0,219.55,0,78.44,0,0,29.2,29.2,34.8,24.5,8.8,18.7,0.0,4720
0.0,8.6,0,142.09,0,75.66,0,0,35.3,35.3,49.8,26.1,7.1,23.3,0.0,20663
0.28,9.5,0,163.63,0,80.04,0,0,46.2,46.2,53.9,35.6,9.5,29.4,0.0,734
0.31,10.8,0,245.83,0,84.92,0,0,57.5,57.5,65.3,51.4,9.4,0.0,0.0,8513
0.12,11.3,0,169.17,0,85.58,0,0,49.0,49.0,53.4,45.6,7.7,43.0,0.0,3276
0.96,12.1,0,217.83,0,81.97,0,0,52.6,52.6,60.9,36.4,8.2,29.1,0.0,7135
0.0,14.0,0,348.33,0,58.53,0,0,34.6,34.6,41.6,28.9,9.9,20.7,0.0,25696
0.0,8.4,0,134.17,0,57.88,0,0,32.9,32.9,45.6,22.7,9.9,20.6,0.0,23853
0.0,4.1,0,70.83,0,74.78,0,0,36.4,36.4,44.3,29.6,9.9,28.6,0.0,3843
0.0,10.0,0,107.92,0,69.5,0,0,42.8,42.8,57.5,28.7,9.6,44.5,0.0,19514
0.27,8.3,0,134.58,0,83.79,0,0,50.9,50.9,56.5,45.3,8.3,44.8,0.0,3574
0.03,12.5,0,272.52,0,68.55,0,0,46.0,46.0,52.2,41.8,9.3,39.4,0.74,7723
0.27,13.4,0,183.26,0,73.8,0,0,36.6,36.6,42.4,31.8,7.1,23.1,0.44,1260
0.0,13.3,0,339.17,0,56.7,0,0,31.6,31.6,39.5,26.3,9.9,15.4,0.92,17495
0.0,7.3,0,116.09,0,52.29,0,0,36.2,36.2,55.0,20.8,9.9,25.9,0.0,26034
0.0,7.4,0,67.39,0,57.96,0,0,40.4,40.4,56.8,24.9,9.9,44.5,0.0,20967
0.2,6.7,0,132.61,0,71.77,0,0,44.1,44.1,46.7,42.3,9.2,39.4,0.0,2604
0.21,9.6,0,153.04,0,82.88,0,0,50.7,50.7,62.3,43.3,9.1,39.2,0.0,17199
